Ссылка на авто;Название авто;Год выпуска;Пробег;Кузов;Цвет;Двигатель;Коробка;Привод;Состояние;Цена в российских рублях;Цена в белорусских рублях;Цена в долларах
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116787357-7c8ee779/;Mercedes-Benz GLE Coupe AMG 63 AMG S I (C292);2015;84 000 км;внедорожник 5 дв.;чёрный;5.5 л / 585 л.с. / Бензин;автоматическая;полный;Не требует ремонта;5,540,000;227,235;88,910
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1115691786-37e3ed1c/;Mercedes-Benz GLE Coupe AMG 43 AMG I (C292);2017;87 000 км;внедорожник 5 дв.;чёрный;3.0 л / 390 л.с. / Бензин;автоматическая;полный;Не требует ремонта;5,570,000;228,465;89,391
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116004428-bc84e714/;Mercedes-Benz GLE Coupe AMG 43 AMG I (C292);2018;55 000 км;внедорожник 5 дв.;серый;3.0 л / 390 л.с. / Бензин;автоматическая;полный;Не требует ремонта;5,580,000;228,876;89,552
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1115838534-637003ed/;Mercedes-Benz GLE Coupe AMG 63 AMG I (C292);2015;47 000 км;внедорожник 5 дв.;синий;5.5 л / 558 л.с. / Бензин;автоматическая;полный;Не требует ремонта;5,600,000;229,696;89,873
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1117042818-262d6277/;Mercedes-Benz GLE Coupe AMG 43 AMG I (C292);2017;55 000 км;внедорожник 5 дв.;синий;3.0 л / 367 л.с. / Бензин;автоматическая;полный;Не требует ремонта;5,610,000;230,106;90,033
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116971841-b2012b05/;Mercedes-Benz GLE Coupe AMG 43 AMG I (C292);2015;134 000 км;внедорожник 5 дв.;чёрный;3.0 л / 367 л.с. / Бензин;автоматическая;полный;Не требует ремонта;5,610,000;230,106;90,033
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116597189-8e49c42a/;Mercedes-Benz GLE Coupe AMG 63 AMG I (C292);2016;100 000 км;внедорожник 5 дв.;чёрный;5.5 л / 558 л.с. / Бензин;автоматическая;полный;Не требует ремонта;5,610,000;230,106;90,033
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116259062-b5effecd/;Mercedes-Benz GLE Coupe AMG 63 AMG I (C292);2017;90 000 км;внедорожник 5 дв.;чёрный;5.5 л / 558 л.с. / Бензин;автоматическая;полный;Не требует ремонта;5,620,000;230,516;90,194
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1105152938-f2323593/;Mercedes-Benz GLE Coupe AMG 43 AMG I (C292);2017;46 000 км;внедорожник 5 дв.;чёрный;3.0 л / 390 л.с. / Бензин;автоматическая;полный;Не требует ремонта;5,640,000;231,337;90,515
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116602321-70bfa457/;Mercedes-Benz GLE Coupe AMG 63 AMG S I (C292);2017;94 000 км;внедорожник 5 дв.;серый;5.5 л / 585 л.с. / Бензин;автоматическая;полный;Не требует ремонта;5,670,000;232,567;90,996
